User ID,Pref 1,Rating 1,Pref 2,Rating 2,Pref 3,Rating 3,Pref 4,Rating 4,Pref 5,Rating 5
0001,Floor,1,Building,2,Accessibility,3,Type,4,Capacity,5
0002,Type,1,Software,2,Equipment,3,Accessibility,4,Schedule,5
0003,Floor,1,Accessibility,2,Capacity,3,Equipment,4,Building,5
0004,Access,1,Software,2,Requestable,3,Capacity,4,Type,5
0005,Capacity,1,Access,2,Floor,3,Software,4,Requestable,5
0006,Type,1,Software,2,Building,3,Floor,4,Accessibility,5
0007,Access,1,Building,2,Software,3,Equipment,4,Capacity,5
0008,Requestable,1,Capacity,2,Accessibility,3,Equipment,4,Floor,5
0009,Building,1,Capacity,2,Requestable,3,Accessibility,4,Equipment,5
0010,Floor,1,Requestable,2,Capacity,3,Accessibility,4,Building,5
0011,Capacity,1,Access,2,Requestable,3,Schedule,4,Accessibility,5
0012,Type,1,Requestable,2,Schedule,3,Building,4,Capacity,5
0013,Schedule,1,Equipment,2,Software,3,Accessibility,4,Requestable,5
0014,Type,1,Equipment,2,Requestable,3,Software,4,Accessibility,5
0015,Access,1,Building,2,Accessibility,3,Software,4,Equipment,5
0016,Requestable,1,Software,2,Access,3,Schedule,4,Type,5
0017,Capacity,1,Building,2,Accessibility,3,Schedule,4,Software,5
0018,Building,1,Floor,2,Access,3,Schedule,4,Equipment,5
0019,Software,1,Floor,2,Type,3,Capacity,4,Equipment,5
0020,Capacity,1,Equipment,2,Schedule,3,Type,4,Building,5
0021,Capacity,1,Type,2,Equipment,3,Schedule,4,Building,5
0022,Requestable,1,Accessibility,2,Floor,3,Capacity,4,Software,5
0023,Type,1,Equipment,2,Requestable,3,Software,4,Schedule,5
0024,Access,1,Type,2,Equipment,3,Accessibility,4,Software,5
0025,Schedule,1,Access,2,Software,3,Building,4,Equipment,5
0026,Capacity,1,Access,2,Software,3,Building,4,Requestable,5
0027,Accessibility,1,Access,2,Floor,3,Equipment,4,Schedule,5
0028,Capacity,1,Accessibility,2,Floor,3,Equipment,4,Software,5
0029,Floor,1,Requestable,2,Schedule,3,Software,4,Capacity,5
0030,Requestable,1,Equipment,2,Schedule,3,Accessibility,4,Type,5
0031,Equipment,1,Accessibility,2,Floor,3,Type,4,Software,5
0032,Type,1,Software,2,Access,3,Equipment,4,Floor,5
0033,Requestable,1,Equipment,2,Schedule,3,Accessibility,4,Floor,5
0034,Capacity,1,Building,2,Floor,3,Equipment,4,Type,5
0035,Equipment,1,Requestable,2,Schedule,3,Type,4,Capacity,5
0036,Type,1,Capacity,2,Floor,3,Software,4,Schedule,5
0037,Requestable,1,Building,2,Accessibility,3,Capacity,4,Type,5
0038,Requestable,1,Type,2,Accessibility,3,Access,4,Floor,5
0039,Access,1,Capacity,2,Building,3,Requestable,4,Schedule,5
0040,Access,1,Software,2,Equipment,3,Capacity,4,Floor,5
0041,Accessibility,1,Equipment,2,Requestable,3,Access,4,Capacity,5
0042,Equipment,1,Requestable,2,Schedule,3,Floor,4,Building,5
0043,Floor,1,Schedule,2,Type,3,Capacity,4,Requestable,5
0044,Access,1,Software,2,Capacity,3,Requestable,4,Building,5
0045,Software,1,Building,2,Type,3,Access,4,Accessibility,5
0046,Software,1,Type,2,Building,3,Floor,4,Equipment,5
0047,Access,1,Equipment,2,Requestable,3,Schedule,4,Type,5
0048,Requestable,1,Schedule,2,Accessibility,3,Building,4,Capacity,5
0049,Equipment,1,Access,2,Building,3,Type,4,Accessibility,5
0050,Access,1,Accessibility,2,Capacity,3,Software,4,Building,5
0051,Capacity,1,Requestable,2,Type,3,Access,4,Building,5
0052,Floor,1,Requestable,2,Software,3,Access,4,Capacity,5
0053,Equipment,1,Requestable,2,Capacity,3,Accessibility,4,Schedule,5
0054,Software,1,Building,2,Floor,3,Equipment,4,Requestable,5
0055,Accessibility,1,Requestable,2,Floor,3,Software,4,Type,5
0056,Floor,1,Building,2,Accessibility,3,Equipment,4,Type,5
0057,Capacity,1,Floor,2,Software,3,Equipment,4,Schedule,5
0058,Requestable,1,Software,2,Capacity,3,Schedule,4,Floor,5
0059,Equipment,1,Type,2,Software,3,Capacity,4,Building,5
0060,Accessibility,1,Capacity,2,Access,3,Schedule,4,Type,5
0061,Accessibility,1,Software,2,Type,3,Access,4,Requestable,5
