User ID,Pref 1,Rating 1,Pref 2,Rating 2,Pref 3,Rating 3,Pref 4,Rating 4,Pref 5,Rating 5
0001,Equipment,1,Schedule,2,Software,3,Accessibility,4,Capacity,5
0002,Building,1,Capacity,2,Floor,3,Access,4,Type,5
0003,Building,1,Equipment,2,Access,3,Accessibility,4, ,5
0004,Building,1,Floor,2,Requestable,3,Type,4,Schedule,5
0005,Floor,1,Software,2,Requestable,3,Access,4, ,5
0006,Software,1,Schedule,2,Equipment,3,Capacity,4,Building,5
0007,Capacity,1,Floor,2,Access,3,Software,4,Building,5
0008,Accessibility,1,Equipment,2,Capacity,3,Type,4,Schedule,5
0009,Equipment,1,Type,2,Capacity,3,Building,4,Accessibility,5
0010,Type,1,Schedule,2,Equipment,3,Building,4,Floor,5
0011,Software,1,Type,2,Floor,3,Building,4, ,5
0012,Software,1,Accessibility,2,Capacity,3,Access,4,Building,5
0013,Requestable,1,Software,2,Floor,3,Schedule,4,Equipment,5
0014,Capacity,1,Requestable,2,Equipment,3,Accessibility,4,Access,5
0015,Equipment,1,Schedule,2,Accessibility,3,Access,4, ,5
0016,Accessibility,1,Type,2,Building,3,Floor,4, ,5
0017,Software,1,Type,2,Requestable,3,Access,4,Building,5
0018,Schedule,1,Capacity,2,Software,3,Access,4,Floor,5
0019,Requestable,1,Software,2,Equipment,3,Capacity,4,Building,5
0020,Accessibility,1,Requestable,2,Floor,3,Type,4,Equipment,5
0021,Software,1,Schedule,2,Capacity,3,Type,4,Accessibility,5
0022,Type,1,Access,2,Software,3,Capacity,4,Equipment,5
0023,Floor,1,Building,2,Requestable,3,Type,4,Schedule,5
0024,Accessibility,1,Floor,2,Equipment,3,Schedule,4,Building,5
0025,Access,1,Building,2,Capacity,3,Equipment,4,Floor,5
0026,Access,1,Building,2,Capacity,3,Schedule,4,Requestable,5
0027,Building,1,Equipment,2,Software,3,Floor,4,Accessibility,5
0028,Schedule,1,Requestable,2,Accessibility,3,Floor,4,Capacity,5
0029,Type,1,Schedule,2,Access,3,Floor,4,Equipment,5
0030,Accessibility,1,Type,2,Floor,3,Capacity,4,Schedule,5
0031,Capacity,1,Floor,2,Accessibility,3,Access,4,Equipment,5
0032,Schedule,1,Type,2,Building,3,Equipment,4,Access,5
0033,Type,1,Software,2,Access,3,Requestable,4,Accessibility,5
0034,Equipment,1,Requestable,2,Floor,3,Schedule,4,Building,5
0035,Access,1,Schedule,2,Type,3,Software,4,Capacity,5
0036,Capacity,1,Building,2,Equipment,3,Type,4,Software,5
0037,Access,1,Schedule,2,Requestable,3,Floor,4,Software,5
0038,Access,1,Equipment,2,Schedule,3,Software,4,Requestable,5
0039,Type,1,Software,2,Floor,3,Accessibility,4,Building,5
0040,Capacity,1,Accessibility,2,Schedule,3,Requestable,4,Building,5
0041,Access,1,Software,2,Equipment,3,Floor,4,Requestable,5
0042,Building,1,Floor,2,Accessibility,3,Equipment,4,Capacity,5
0043,Software,1,Accessibility,2,Capacity,3,Access,4,Building,5
0044,Floor,1,Accessibility,2,Equipment,3,Type,4,Schedule,5
0045,Capacity,1,Type,2,Floor,3,Access,4,Schedule,5
0046,Capacity,1,Type,2,Software,3,Requestable,4,Building,5
0047,Equipment,1,Capacity,2,Schedule,3,Access,4,Building,5
0048,Accessibility,1,Access,2,Equipment,3,Software,4,Floor,5
0049,Accessibility,1,Requestable,2,Type,3,Schedule,4,Equipment,5
0050,Requestable,1,Equipment,2,Schedule,3,Floor,4,Software,5
0051,Building,1,Software,2,Accessibility,3,Requestable,4,Access,5
0052,Software,1,Type,2,Equipment,3,Schedule,4,Accessibility,5
0053,Requestable,1,Accessibility,2,Access,3,Schedule,4,Building,5
0054,Software,1,Access,2,Capacity,3,Accessibility,4,Schedule,5
0055,Floor,1,Access,2,Software,3,Equipment,4,Accessibility,5
0056,Capacity,1,Schedule,2,Software,3,Type,4,Floor,5
0057,Floor,1,Schedule,2,Type,3,Equipment,4,Access,5
0058,Capacity,1,Equipment,2,Software,3,Schedule,4,Requestable,5
0059,Schedule,1,Access,2,Software,3,Accessibility,4,Building,5
0060,Type,1,Software,2,Requestable,3,Capacity,4,Equipment,5
0061,Type,1,Building,2,Capacity,3,Accessibility,4,Software,5
0062,Capacity,1,Requestable,2,Type,3,Software,4,Floor,5
0063,Type,1,Floor,2,Building,3,Equipment,4,Access,5
0064,Equipment,1,Capacity,2,Schedule,3,Access,4,Type,5
0065,Accessibility,1,Schedule,2,Software,3,Requestable,4,Type,5
0066,Building,1,Type,2,Floor,3,Access,4,Schedule,5
0067,Equipment,1,Software,2,Access,3,Floor,4,Schedule,5
0068,Building,1,Access,2,Capacity,3,Requestable,4,Software,5
0069,Capacity,1,Type,2,Schedule,3,Building,4,Accessibility,5
0070,Floor,1,Building,2,Software,3,Schedule,4,Requestable,5
0071,Type,1,Requestable,2,Equipment,3,Floor,4,Capacity,5
0072,Floor,1,Schedule,2,Software,3,Type,4,Building,5
0073,Requestable,1,Accessibility,2,Type,3,Schedule,4,Capacity,5
0074,Capacity,1,Floor,2,Type,3,Access,4,Equipment,5
0075,Access,1,Software,2,Building,3,Requestable,4,Equipment,5
0076,Equipment,1,Accessibility,2,Schedule,3,Type,4,Requestable,5
0077,Accessibility,1,Equipment,2,Requestable,3,Type,4,Schedule,5
0078,Equipment,1,Accessibility,2,Schedule,3,Type,4,Requestable,5
0079,Capacity,1,Building,2,Equipment,3,Floor,4,Schedule,5
0080,Requestable,1,Accessibility,2,Schedule,3,Equipment,4,Building,5
0081,Schedule,1,Floor,2,Building,3,Equipment,4,Accessibility,5
0082,Equipment,1,Access,2,Software,3,Accessibility,4,Capacity,5
0083,Type,1,Software,2,Access,3,Requestable,4,Accessibility,5
0084,Equipment,1,Software,2,Type,3,Building,4,Schedule,5
0085,Requestable,1,Floor,2,Accessibility,3,Capacity,4,Building,5
0086,Requestable,1,Schedule,2,Building,3,Capacity,4,Software,5
0087,Software,1,Type,2,Access,3,Accessibility,4,Floor,5
0088,Software,1,Type,2,Schedule,3,Floor,4,Building,5
0089,Requestable,1,Floor,2,Access,3,Building,4,Accessibility,5
0090,Schedule,1,Requestable,2,Capacity,3,Software,4,Accessibility,5
0091,Capacity,1,Access,2,Floor,3,Software,4,Requestable,5
0092,Type,1,Software,2,Capacity,3,Equipment,4,Access,5
0093,Schedule,1,Floor,2,Building,3,Capacity,4,Type,5
0094,Accessibility,1,Software,2,Capacity,3,Requestable,4,Type,5
0095,Accessibility,1,Schedule,2,Capacity,3,Equipment,4,Floor,5
0096,Floor,1,Software,2,Accessibility,3,Schedule,4,Type,5
0097,Capacity,1,Floor,2,Software,3,Equipment,4,Type,5
0098,Building,1,Schedule,2,Capacity,3,Software,4,Floor,5
